real_data,synth,utterance,CER,WER
0.25,1,457,0.2077922077922078,0.7857142857142857
0.25,1,458,0.2857142857142857,0.6
0.25,1,459,0.3218390804597701,0.8666666666666667
0.25,1,460,0.2857142857142857,0.7
0.25,1,461,0.22413793103448276,0.46153846153846156
0.25,1,462,0.5833333333333334,1.0
0.25,1,463,0.3333333333333333,0.8888888888888888
0.25,1,464,0.7,1.6
0.25,1,465,0.1896551724137931,0.6111111111111112
0.25,1,466,0.3089430894308943,0.7407407407407407
0.25,1,467,0.25806451612903225,0.55
0.25,1,468,0.125,0.375
0.25,1,469,0.1484375,0.4782608695652174
0.25,1,470,0.2509505703422053,0.6224489795918368
0.25,1,471,0.27976190476190477,0.8
0.25,1,472,0.1652892561983471,0.6111111111111112
0.25,1,473,0.3488372093023256,1.125
0.25,1,474,0.31683168316831684,0.7368421052631579
0.25,1,475,0.34615384615384615,1.0
0.25,1,476,0.23116883116883116,0.7727272727272727
0.25,1,477,0.36507936507936506,0.8571428571428571
0.25,1,478,0.6206896551724138,1.0
0.25,1,479,0.15789473684210525,0.5
0.25,1,480,0.35877862595419846,0.8888888888888888
0.25,1,481,0.21568627450980393,0.5
0.25,1,482,0.19424460431654678,0.4838709677419355
0.25,1,483,0.46153846153846156,0.8333333333333334
0.25,1,484,0.22413793103448276,0.5652173913043478
0.25,1,485,0.3283582089552239,0.7058823529411765
0.25,1,486,0.2857142857142857,0.8571428571428571
0.25,1,487,0.23529411764705882,0.7142857142857143
0.25,1,488,0.2833333333333333,0.64
0.25,1,489,0.06451612903225806,0.2857142857142857
0.25,1,490,0.14285714285714285,0.3076923076923077
0.25,1,491,0.19047619047619047,0.625
0.25,1,492,0.15217391304347827,0.5555555555555556
0.25,1,493,0.32558139534883723,0.9090909090909091
0.25,1,494,0.10256410256410256,0.25
0.25,1,495,0.21390374331550802,0.6285714285714286
0.25,1,496,0.3492063492063492,0.8333333333333334
0.25,1,497,0.32098765432098764,1.0769230769230769
0.25,1,498,0.45161290322580644,0.8333333333333334
0.25,1,499,0.20297029702970298,0.5581395348837209
0.25,1,500,0.1864406779661017,0.5
0.25,1,501,0.17073170731707318,0.5555555555555556
0.25,1,502,0.25,0.75
0.25,1,503,0.22448979591836735,0.5384615384615384
0.25,1,504,0.24489795918367346,0.6956521739130435
0.25,1,505,0.2972972972972973,0.8125
0.25,1,506,0.18705035971223022,0.7083333333333334
0.25,1,507,0.13008130081300814,0.5185185185185185
0.25,1,508,0.2826086956521739,0.6470588235294118
0.25,1,509,0.3448275862068966,0.5714285714285714
0.25,1,510,0.296875,0.6428571428571429
0.25,1,511,0.18315018315018314,0.7083333333333334
0.25,1,512,0.1188118811881188,0.42105263157894735
0.25,1,513,0.22705314009661837,0.6
0.25,1,514,0.17834394904458598,0.7241379310344828
0.25,1,515,0.18181818181818182,0.6666666666666666
0.25,1,516,0.2765957446808511,0.65
0.25,1,517,0.24043715846994534,0.75
0.25,1,518,0.34285714285714286,1.4
0.25,1,519,0.13963963963963963,0.45977011494252873
0.25,1,520,0.2,0.5897435897435898
0.25,1,521,0.1405152224824356,0.3974358974358974
0.25,1,522,0.1319796954314721,0.45714285714285713
0.25,1,523,0.2374429223744292,0.5675675675675675
0.25,1,524,0.20603015075376885,0.5813953488372093
0.25,1,525,0.1366120218579235,0.45714285714285713
0.25,1,526,0.19900497512437812,0.6666666666666666
